iter	Passed	Remaining
773	9218	2691
774	9229	2679
775	9240	2667
776	9252	2655
777	9263	2643
778	9274	2631
779	9286	2619
780	9297	2607
781	9309	2595
782	9320	2583
783	9331	2570
784	9344	2559
785	9356	2547
786	9367	2535
787	9378	2523
788	9389	2511
789	9400	2498
790	9412	2486
791	9423	2474
792	9434	2462
793	9446	2450
794	9457	2438
795	9468	2426
796	9480	2414
797	9491	2402
798	9502	2390
799	9515	2378
800	9527	2366
801	9539	2355
802	9550	2343
803	9561	2330
804	9573	2318
805	9584	2307
806	9596	2294
807	9607	2282
808	9618	2270
809	9630	2258
810	9641	2246
811	9652	2234
812	9664	2222
813	9676	2210
814	9687	2198
815	9698	2186
816	9709	2174
817	9721	2162
818	9732	2150
819	9744	2138
820	9755	2126
821	9767	2115
822	9778	2102
823	9789	2090
824	9801	2079
825	9812	2066
826	9823	2054
827	9834	2042
828	9846	2030
829	9866	2020
830	9877	2008
831	9890	1997
832	9901	1985
833	9913	1973
834	9924	1961
835	9935	1949
836	9946	1937
837	9957	1925
838	9969	1913
839	9980	1901
840	9991	1889
841	10003	1877
842	10014	1865
843	10026	1853
844	10040	1841
845	10051	1829
846	10063	1817
847	10074	1805
848	10085	1793
849	10097	1781
850	10108	1769
851	10120	1757
852	10131	1746
853	10143	1734
854	10154	1722
855	10166	1710
856	10177	1698
857	10188	1686
858	10200	1674
859	10211	1662
860	10223	1650
861	10234	1638
862	10245	1626
863	10257	1614
864	10268	1602
865	10280	1590
866	10291	1578
867	10302	1566
868	10314	1554
869	10326	1543
870	10338	1531
871	10349	1519
872	10360	1507
873	10372	1495
874	10383	1483
875	10394	1471
876	10406	1459
877	10418	1447
878	10429	1435
879	10441	1423
880	10453	1411
881	10464	1400
882	10476	1388
883	10487	1376
884	10498	1364
885	10509	1352
886	10521	1340
887	10532	1328
888	10543	1316
889	10556	1304
890	10567	1292
891	10577	1280
892	10587	1268
893	10597	1256
894	10607	1244
895	10617	1232
896	10627	1220
897	10638	1208
898	10649	1196
899	10659	1184
900	10669	1172
901	10680	1160
902	10690	1148
903	10701	1136
904	10711	1124
905	10722	1112
906	10732	1100
907	10743	1088
908	10754	1076
909	10764	1064
910	10775	1052
911	10785	1040
912	10795	1028
913	10806	1016
914	10816	1004
915	10827	992
916	10838	980
917	10849	969
918	10859	957
919	10870	945
920	10881	933
921	10892	921
922	10903	909
923	10913	897
924	10924	885
925	10935	873
926	10946	862
927	10965	850
928	10976	838
929	10987	826
930	10998	815
931	11009	803
932	11020	791
933	11031	779
934	11041	767
935	11052	755
936	11063	743
937	11074	732
938	11087	720
939	11098	708
940	11108	696
941	11118	684
942	11129	672
943	11138	660
944	11149	648
945	11160	637
946	11170	625
947	11180	613
948	11191	601
949	11201	589
950	11212	577
951	11222	565
952	11233	554
953	11243	542
954	11254	530
955	11265	518
956	11275	506
957	11286	494
958	11296	482
959	11306	471
960	11318	459
961	11329	447
962	11339	435
963	11350	423
964	11361	412
965	11372	400
966	11382	388
967	11393	376
968	11404	364
969	11415	353
970	11426	341
971	11437	329
972	11448	317
973	11459	305
974	11470	294
975	11481	282
976	11492	270
977	11503	258
978	11514	246
979	11525	235
980	11536	223
981	11547	211
982	11557	199
983	11568	188
984	11579	176
985	11592	164
986	11603	152
987	11613	141
988	11624	129
989	11634	117
990	11644	105
991	11654	93
992	11665	82
993	11675	70
994	11686	58
995	11696	46
996	11707	35
997	11717	23
998	11728	11
999	11739	0
